district,location,rooms,area,floor,total_floors,price,area_per_room
Abşeron,Masazır,3.0,106.0,17.0,17.0,135000.0,35.333333333333336
Abşeron,Masazır,2.0,56.0,8.0,10.0,73500.0,28.0
Abşeron,Ceyranbatan,2.0,78.0,6.0,9.0,115500.0,39.0
Abşeron,Saray,3.0,94.0,1.0,5.0,117500.0,31.333333333333332
Abşeron,Ceyranbatan,2.0,62.0,3.0,9.0,86500.0,31.0
Abşeron,Ceyranbatan,2.0,70.0,13.0,14.0,103500.0,35.0
Abşeron,Ceyranbatan,2.0,54.0,10.0,12.0,71000.0,27.0
Abşeron,Saray,3.0,82.0,13.0,14.0,107500.0,27.333333333333332
Abşeron,Mehdiabad,2.0,76.0,2.0,9.0,98500.0,38.0
Abşeron,Ceyranbatan,2.0,71.0,2.0,5.0,86500.0,35.5
Abşeron,Ceyranbatan,3.0,118.0,9.0,9.0,186000.0,39.333333333333336
Abşeron,Masazır,2.0,70.0,3.0,5.0,90500.0,35.0
Abşeron,Mehdiabad,3.0,122.0,1.0,4.0,160500.0,40.666666666666664
Abşeron,Ceyranbatan,2.0,76.0,6.0,12.0,105500.0,38.0
Abşeron,Masazır,2.0,79.0,12.0,14.0,107000.0,39.5
Abşeron,Masazır,3.0,105.0,4.0,7.0,140500.0,35.0
Abşeron,Mehdiabad,2.0,55.0,3.0,6.0,74000.0,27.5
Abşeron,Masazır,1.0,41.0,1.0,8.0,55000.0,41.0
Abşeron,Masazır,4.0,130.0,5.0,5.0,175000.0,32.5
Abşeron,Mehdiabad,2.0,62.0,4.0,9.0,76500.0,31.0
Abşeron,Masazır,3.0,97.0,11.0,16.0,132000.0,32.333333333333336
Abşeron,Masazır,2.0,81.0,17.0,17.0,113000.0,40.5
Abşeron,Masazır,2.0,64.0,10.0,14.0,96500.0,32.0
Abşeron,Ceyranbatan,2.0,64.0,11.0,14.0,93000.0,32.0
Abşeron,Saray,2.0,82.0,5.0,9.0,99500.0,41.0
Abşeron,Saray,2.0,59.0,1.0,5.0,62000.0,29.5
Abşeron,Mehdiabad,3.0,98.0,3.0,6.0,120000.0,32.666666666666664
Abşeron,Masazır,2.0,81.0,5.0,9.0,110000.0,40.5
Abşeron,Ceyranbatan,3.0,82.0,1.0,9.0,107000.0,27.333333333333332
Abşeron,Ceyranbatan,3.0,109.0,11.0,14.0,135000.0,36.333333333333336
Abşeron,Masazır,3.0,110.0,3.0,12.0,167000.0,36.666666666666664
Abşeron,Saray,2.0,78.0,5.0,7.0,93000.0,39.0
Abşeron,Mehdiabad,4.0,128.0,2.0,9.0,169500.0,32.0
Abşeron,Saray,2.0,49.0,1.0,7.0,70000.0,24.5
Abşeron,Masazır,2.0,54.0,6.0,8.0,81000.0,27.0
Abşeron,Ceyranbatan,2.0,63.0,1.0,14.0,77000.0,31.5
Abşeron,Mehdiabad,2.0,57.0,4.0,4.0,72500.0,28.5
Abşeron,Mehdiabad,3.0,116.0,5.0,5.0,145500.0,38.666666666666664
Abşeron,Ceyranbatan,3.0,109.0,6.0,10.0,163000.0,36.333333333333336
Abşeron,Ceyranbatan,3.0,116.0,6.0,16.0,139500.0,38.666666666666664
Abşeron,Ceyranbatan,2.0,55.0,2.0,9.0,67500.0,27.5
Abşeron,Saray,2.0,73.0,2.0,7.0,92000.0,36.5
Abşeron,Saray,2.0,60.0,3.0,7.0,80500.0,30.0
Abşeron,Ceyranbatan,3.0,95.0,9.0,10.0,122000.0,31.666666666666668
Abşeron,Ceyranbatan,2.0,64.0,1.0,12.0,87000.0,32.0
Abşeron,Masazır,1.0,51.0,5.0,6.0,83500.0,51.0
Abşeron,Mehdiabad,1.0,48.0,2.0,5.0,66000.0,48.0
Abşeron,Masazır,4.0,135.0,5.0,6.0,157500.0,33.75
Abşeron,Saray,3.0,97.0,13.0,14.0,104500.0,32.333333333333336
Abşeron,Saray,2.0,45.0,6.0,16.0,62500.0,22.5
Abşeron,Saray,3.0,79.0,7.0,17.0,116000.0,26.333333333333332
Abşeron,Masazır,2.0,51.0,5.0,16.0,68000.0,25.5
Abşeron,Mehdiabad,3.0,104.0,6.0,6.0,132500.0,34.666666666666664
Abşeron,Masazır,2.0,60.0,4.0,6.0,81500.0,30.0
Abşeron,Saray,3.0,91.0,9.0,16.0,107500.0,30.333333333333332
Abşeron,Masazır,3.0,94.0,4.0,6.0,134500.0,31.333333333333332
Abşeron,Ceyranbatan,3.0,81.0,5.0,14.0,120500.0,27.0
Abşeron,Masazır,2.0,57.0,5.0,14.0,80500.0,28.5
Abşeron,Masazır,3.0,74.0,6.0,9.0,112000.0,24.666666666666668
Abşeron,Mehdiabad,3.0,124.0,2.0,9.0,151000.0,41.333333333333336
Binəqədi,9-cu Mikrorayon,2.0,62.0,4.0,9.0,149000.0,31.0
Binəqədi,8-ci Mikrorayon,3.0,72.0,1.0,5.0,171000.0,24.0
Binəqədi,28 May,3.0,111.0,8.0,9.0,382000.0,37.0
Binəqədi,6-cı Mikrorayon,3.0,114.0,11.0,18.0,269000.0,38.0
Binəqədi,7-ci Mikrorayon,2.0,67.0,9.0,16.0,217000.0,33.5
Binəqədi,7-ci Mikrorayon,3.0,123.0,12.0,17.0,309000.0,41.0
Binəqədi,6-cı Mikrorayon,2.0,51.0,9.0,18.0,145000.0,25.5
Binəqədi,9-cu Mikrorayon,3.0,74.0,6.0,19.0,202000.0,24.666666666666668
Binəqədi,Binəqədi,3.0,84.0,2.0,16.0,155000.0,28.0
Binəqədi,7-ci Mikrorayon,2.0,81.0,11.0,17.0,205000.0,40.5
Binəqədi,6-cı Mikrorayon,2.0,92.0,14.0,16.0,260000.0,46.0
Binəqədi,Binəqədi,2.0,69.0,1.0,3.0,115000.0,34.5
Binəqədi,8-ci Mikrorayon,2.0,83.0,9.0,16.0,307000.0,41.5
Binəqədi,9-cu Mikrorayon,3.0,87.0,4.0,17.0,224000.0,29.0
Binəqədi,9-cu Mikrorayon,1.0,50.0,4.0,19.0,160000.0,50.0
Binəqədi,Biləcəri,2.0,94.0,5.0,5.0,165000.0,47.0
Binəqədi,Biləcəri,4.0,115.0,2.0,5.0,250000.0,28.75
Binəqədi,6-cı Mikrorayon,3.0,74.0,2.0,7.0,210000.0,24.666666666666668
Binəqədi,6-cı Mikrorayon,3.0,108.0,7.0,18.0,320000.0,36.0
Binəqədi,7-ci Mikrorayon,3.0,93.0,9.0,13.0,221000.0,31.0
Binəqədi,6-cı Mikrorayon,3.0,107.0,1.0,14.0,247000.0,35.666666666666664
Binəqədi,Biləcəri,2.0,60.0,11.0,15.0,132000.0,30.0
Binəqədi,8-ci Mikrorayon,2.0,75.0,14.0,19.0,201000.0,37.5
Binəqədi,8-ci Mikrorayon,3.0,113.0,4.0,18.0,295000.0,37.666666666666664
Binəqədi,28 May,3.0,112.0,5.0,9.0,342000.0,37.333333333333336
Binəqədi,Biləcəri,4.0,103.0,1.0,5.0,237000.0,25.75
Binəqədi,8-ci Mikrorayon,2.0,70.0,2.0,5.0,211000.0,35.0
Binəqədi,7-ci Mikrorayon,3.0,99.0,7.0,12.0,288000.0,33.0
Binəqədi,9-cu Mikrorayon,3.0,82.0,7.0,17.0,286000.0,27.333333333333332
Binəqədi,6-cı Mikrorayon,3.0,102.0,1.0,7.0,262000.0,34.0
Binəqədi,8-ci Mikrorayon,3.0,85.0,4.0,16.0,284000.0,28.333333333333332
Binəqədi,6-cı Mikrorayon,3.0,106.0,9.0,17.0,259000.0,35.333333333333336
Binəqədi,9-cu Mikrorayon,2.0,65.0,1.0,5.0,179000.0,32.5
Binəqədi,6-cı Mikrorayon,2.0,61.0,3.0,7.0,176000.0,30.5
Binəqədi,6-cı Mikrorayon,3.0,115.0,1.0,16.0,297000.0,38.333333333333336
Binəqədi,Biləcəri,2.0,51.0,5.0,10.0,92000.0,25.5
Binəqədi,Biləcəri,2.0,61.0,1.0,5.0,118000.0,30.5
Binəqədi,7-ci Mikrorayon,2.0,61.0,8.0,9.0,157000.0,30.5
Binəqədi,6-cı Mikrorayon,2.0,89.0,5.0,7.0,200000.0,44.5
Binəqədi,8-ci Mikrorayon,2.0,68.0,2.0,19.0,220000.0,34.0
Binəqədi,6-cı Mikrorayon,3.0,126.0,5.0,18.0,320000.0,42.0
Binəqədi,7-ci Mikrorayon,2.0,66.0,14.0,18.0,207000.0,33.0
Binəqədi,7-ci Mikrorayon,3.0,76.0,1.0,13.0,212000.0,25.333333333333332
Binəqədi,8-ci Mikrorayon,2.0,95.0,8.0,19.0,264000.0,47.5
Binəqədi,6-cı Mikrorayon,3.0,92.0,18.0,18.0,214000.0,30.666666666666668
Binəqədi,8-ci Mikrorayon,1.0,46.0,5.0,5.0,135000.0,46.0
Binəqədi,8-ci Mikrorayon,2.0,81.0,5.0,9.0,208000.0,40.5
Binəqədi,Biləcəri,3.0,130.0,6.0,10.0,250000.0,43.333333333333336
Binəqədi,9-cu Mikrorayon,2.0,64.0,10.0,19.0,193000.0,32.0
Binəqədi,28 May,3.0,96.0,10.0,17.0,304000.0,32.0
Binəqədi,Biləcəri,3.0,90.0,15.0,17.0,173000.0,30.0
Binəqədi,Binəqədi,1.0,66.0,2.0,3.0,163000.0,66.0
Binəqədi,7-ci Mikrorayon,3.0,118.0,5.0,9.0,257000.0,39.333333333333336
Binəqədi,7-ci Mikrorayon,3.0,124.0,3.0,18.0,326000.0,41.333333333333336
Binəqədi,7-ci Mikrorayon,2.0,89.0,1.0,5.0,241000.0,44.5
Binəqədi,9-cu Mikrorayon,3.0,105.0,2.0,9.0,288000.0,35.0
Binəqədi,9-cu Mikrorayon,1.0,64.0,15.0,17.0,189000.0,64.0
Binəqədi,Biləcəri,2.0,55.0,15.0,17.0,96000.0,27.5
Binəqədi,Biləcəri,2.0,85.0,5.0,10.0,160000.0,42.5
Binəqədi,7-ci Mikrorayon,4.0,110.0,3.0,9.0,270000.0,27.5
Binəqədi,6-cı Mikrorayon,2.0,79.0,14.0,19.0,197000.0,39.5
Binəqədi,Binəqədi,2.0,63.0,16.0,17.0,99000.0,31.5
Binəqədi,Biləcəri,1.0,58.0,8.0,10.0,94000.0,58.0
Binəqədi,6-cı Mikrorayon,2.0,88.0,6.0,18.0,277000.0,44.0
Binəqədi,Binəqədi,3.0,112.0,1.0,3.0,260000.0,37.333333333333336
Binəqədi,6-cı Mikrorayon,2.0,58.0,11.0,19.0,162000.0,29.0
Binəqədi,8-ci Mikrorayon,3.0,100.0,5.0,5.0,242000.0,33.333333333333336
Binəqədi,6-cı Mikrorayon,4.0,105.0,2.0,5.0,228000.0,26.25
Binəqədi,6-cı Mikrorayon,2.0,87.0,5.0,5.0,235000.0,43.5
Binəqədi,7-ci Mikrorayon,3.0,117.0,4.0,17.0,338000.0,39.0
Binəqədi,Binəqədi,3.0,128.0,13.0,17.0,260000.0,42.666666666666664
Binəqədi,7-ci Mikrorayon,3.0,89.0,4.0,18.0,263000.0,29.666666666666668
Binəqədi,9-cu Mikrorayon,2.0,86.0,1.0,17.0,274000.0,43.0
Binəqədi,9-cu Mikrorayon,4.0,119.0,6.0,18.0,390000.0,29.75
Binəqədi,8-ci Mikrorayon,3.0,97.0,19.0,19.0,263000.0,32.333333333333336
Binəqədi,Biləcəri,2.0,74.0,11.0,17.0,107000.0,37.0
Binəqədi,Biləcəri,2.0,83.0,9.0,15.0,127000.0,41.5
Binəqədi,8-ci Mikrorayon,3.0,114.0,16.0,16.0,311000.0,38.0
Binəqədi,7-ci Mikrorayon,3.0,93.0,9.0,13.0,252000.0,31.0
Binəqədi,7-ci Mikrorayon,3.0,87.0,5.0,12.0,202000.0,29.0
Binəqədi,9-cu Mikrorayon,1.0,50.0,4.0,9.0,160000.0,50.0
Binəqədi,8-ci Mikrorayon,1.0,51.0,4.0,14.0,142000.0,51.0
Binəqədi,6-cı Mikrorayon,2.0,53.0,4.0,19.0,158000.0,26.5
Binəqədi,6-cı Mikrorayon,4.0,161.0,1.0,5.0,320000.0,40.25
Binəqədi,6-cı Mikrorayon,3.0,89.0,2.0,5.0,209000.0,29.666666666666668
Binəqədi,9-cu Mikrorayon,3.0,84.0,13.0,19.0,252000.0,28.0
Binəqədi,7-ci Mikrorayon,3.0,109.0,4.0,17.0,335000.0,36.333333333333336
Binəqədi,6-cı Mikrorayon,2.0,49.0,1.0,7.0,113000.0,24.5
Binəqədi,7-ci Mikrorayon,2.0,74.0,2.0,5.0,224000.0,37.0
Binəqədi,9-cu Mikrorayon,3.0,129.0,7.0,9.0,263000.0,43.0
Binəqədi,7-ci Mikrorayon,2.0,48.0,5.0,9.0,139000.0,24.0
Binəqədi,8-ci Mikrorayon,2.0,70.0,9.0,14.0,232000.0,35.0
Binəqədi,9-cu Mikrorayon,3.0,71.0,2.0,5.0,234000.0,23.666666666666668
Binəqədi,8-ci Mikrorayon,1.0,53.0,2.0,17.0,176000.0,53.0
Binəqədi,7-ci Mikrorayon,1.0,58.0,16.0,17.0,175000.0,58.0
Binəqədi,7-ci Mikrorayon,2.0,55.0,7.0,12.0,160000.0,27.5
Binəqədi,Biləcəri,3.0,99.0,3.0,5.0,172000.0,33.0
Binəqədi,Biləcəri,3.0,70.0,14.0,17.0,106000.0,23.333333333333332
Binəqədi,8-ci Mikrorayon,3.0,73.0,5.0,9.0,223000.0,24.333333333333332
Binəqədi,9-cu Mikrorayon,2.0,85.0,8.0,19.0,249000.0,42.5
Binəqədi,28 May,4.0,114.0,2.0,5.0,373000.0,28.5
Binəqədi,8-ci Mikrorayon,2.0,75.0,8.0,16.0,224000.0,37.5
Binəqədi,9-cu Mikrorayon,2.0,49.0,14.0,17.0,125000.0,24.5
Binəqədi,9-cu Mikrorayon,4.0,162.0,8.0,9.0,390000.0,40.5
Binəqədi,8-ci Mikrorayon,3.0,90.0,7.0,19.0,329000.0,30.0
Binəqədi,7-ci Mikrorayon,2.0,75.0,13.0,17.0,202000.0,37.5
Binəqədi,Binəqədi,2.0,49.0,11.0,18.0,171000.0,24.5
Binəqədi,9-cu Mikrorayon,2.0,86.0,2.0,9.0,242000.0,43.0
Binəqədi,7-ci Mikrorayon,3.0,111.0,3.0,5.0,322000.0,37.0
Binəqədi,7-ci Mikrorayon,3.0,118.0,9.0,13.0,259000.0,39.333333333333336
Binəqədi,Binəqədi,4.0,111.0,4.0,17.0,260000.0,27.75
Binəqədi,7-ci Mikrorayon,2.0,65.0,2.0,18.0,151000.0,32.5
Binəqədi,8-ci Mikrorayon,3.0,120.0,3.0,9.0,318000.0,40.0
Binəqədi,9-cu Mikrorayon,3.0,107.0,4.0,9.0,275000.0,35.666666666666664
Binəqədi,6-cı Mikrorayon,3.0,127.0,6.0,16.0,317000.0,42.333333333333336
Binəqədi,9-cu Mikrorayon,3.0,89.0,7.0,9.0,255000.0,29.666666666666668
Binəqədi,7-ci Mikrorayon,2.0,63.0,10.0,17.0,136000.0,31.5
Binəqədi,Biləcəri,3.0,73.0,10.0,17.0,170000.0,24.333333333333332
Binəqədi,28 May,3.0,93.0,4.0,18.0,364000.0,31.0
Binəqədi,8-ci Mikrorayon,3.0,75.0,6.0,14.0,242000.0,25.0
Binəqədi,Binəqədi,3.0,128.0,6.0,16.0,260000.0,42.666666666666664
Binəqədi,7-ci Mikrorayon,2.0,49.0,4.0,9.0,166000.0,24.5
Binəqədi,Biləcəri,2.0,95.0,1.0,17.0,157000.0,47.5
Binəqədi,7-ci Mikrorayon,2.0,85.0,2.0,12.0,229000.0,42.5
Binəqədi,9-cu Mikrorayon,1.0,55.0,8.0,19.0,171000.0,55.0
Binəqədi,9-cu Mikrorayon,2.0,47.0,3.0,5.0,154000.0,23.5
Binəqədi,7-ci Mikrorayon,2.0,92.0,14.0,17.0,269000.0,46.0
Binəqədi,9-cu Mikrorayon,4.0,152.0,2.0,17.0,390000.0,38.0
Binəqədi,7-ci Mikrorayon,1.0,56.0,12.0,16.0,137000.0,56.0
Binəqədi,Biləcəri,2.0,58.0,1.0,5.0,119000.0,29.0
Binəqədi,8-ci Mikrorayon,2.0,93.0,7.0,17.0,312000.0,46.5
Binəqədi,Biləcəri,3.0,87.0,3.0,10.0,171000.0,29.0
Binəqədi,Biləcəri,2.0,67.0,10.0,10.0,105000.0,33.5
Binəqədi,9-cu Mikrorayon,3.0,117.0,4.0,5.0,316000.0,39.0
Binəqədi,8-ci Mikrorayon,2.0,84.0,5.0,5.0,211000.0,42.0
Binəqədi,Binəqədi,1.0,66.0,2.0,3.0,183000.0,66.0
Binəqədi,Binəqədi,2.0,47.0,3.0,5.0,132000.0,23.5
Binəqədi,8-ci Mikrorayon,2.0,77.0,14.0,17.0,219000.0,38.5
Binəqədi,9-cu Mikrorayon,3.0,116.0,7.0,9.0,293000.0,38.666666666666664
Binəqədi,7-ci Mikrorayon,3.0,96.0,4.0,17.0,252000.0,32.0
Binəqədi,9-cu Mikrorayon,3.0,75.0,1.0,5.0,185000.0,25.0
Binəqədi,6-cı Mikrorayon,2.0,80.0,4.0,17.0,218000.0,40.0
Binəqədi,Binəqədi,2.0,64.0,12.0,16.0,111000.0,32.0
Binəqədi,Biləcəri,2.0,80.0,2.0,15.0,200000.0,40.0
