district,location,rooms,area,floor,total_floors,price
abseron,ceyranbatan,3,102,8,10,129000
abseron,masazir,3,106,17,17,135000
abseron,masazir,2,56,8,10,73500
abseron,ceyranbatan,2,78,6,9,115500
abseron,saray,3,94,1,5,117500
abseron,ceyranbatan,2,62,3,9,86500
abseron,ceyranbatan,2,70,13,14,103500
abseron,ceyranbatan,2,54,10,12,71000
abseron,saray,3,82,13,14,107500
abseron,mehdiabad,2,76,2,9,98500
abseron,ceyranbatan,2,71,2,5,86500
abseron,ceyranbatan,3,118,9,9,186000
abseron,masazir,2,70,3,5,90500
abseron,mehdiabad,3,122,1,4,160500
abseron,ceyranbatan,2,76,6,12,105500
abseron,masazir,2,79,12,14,107000
abseron,masazir,3,105,4,7,140500
abseron,mehdiabad,2,55,3,6,74000
abseron,masazir,1,41,1,8,55000
abseron,masazir,4,130,5,5,175000
abseron,mehdiabad,2,62,4,9,76500
abseron,masazir,3,97,11,16,132000
abseron,masazir,2,81,17,17,113000
abseron,masazir,2,64,10,14,96500
abseron,ceyranbatan,2,64,11,14,93000
abseron,saray,2,82,5,9,99500
abseron,saray,2,59,1,5,62000
abseron,mehdiabad,3,98,3,6,120000
abseron,masazir,2,81,5,9,110000
abseron,ceyranbatan,3,82,1,9,107000
abseron,ceyranbatan,3,109,11,14,135000
abseron,masazir,3,110,3,12,167000
abseron,saray,2,78,5,7,93000
abseron,mehdiabad,4,128,2,9,169500
abseron,saray,2,49,1,7,70000
abseron,masazir,2,54,6,8,81000
abseron,ceyranbatan,2,63,1,14,77000
abseron,mehdiabad,2,57,4,4,72500
abseron,mehdiabad,3,116,5,5,145500
abseron,ceyranbatan,3,109,6,10,163000
abseron,ceyranbatan,3,116,6,16,139500
abseron,ceyranbatan,2,55,2,9,67500
abseron,saray,2,73,2,7,92000
abseron,saray,2,60,3,7,80500
abseron,ceyranbatan,3,95,9,10,122000
abseron,ceyranbatan,2,64,1,12,87000
abseron,masazir,1,51,5,6,83500
abseron,mehdiabad,1,48,2,5,66000
abseron,masazir,4,135,5,6,157500
abseron,saray,3,97,13,14,104500
abseron,saray,2,45,6,16,62500
abseron,saray,3,79,7,17,116000
abseron,masazir,2,51,5,16,68000
abseron,mehdiabad,3,104,6,6,132500
abseron,masazir,2,60,4,6,81500
abseron,saray,3,91,9,16,107500
abseron,masazir,3,94,4,6,134500
abseron,ceyranbatan,3,81,5,14,120500
abseron,masazir,2,57,5,14,80500
abseron,masazir,3,74,6,9,112000
abseron,mehdiabad,3,124,2,9,151000
bineqedi,9cu mikrorayon,2,62,4,9,149000
bineqedi,8ci mikrorayon,3,72,1,5,171000
bineqedi,28may q,3,111,8,9,382000
bineqedi,6ci mikrorayon,3,114,11,18,269000
bineqedi,7ci mikrorayon,2,67,9,16,217000
bineqedi,7ci mikrorayon,3,123,12,17,309000
bineqedi,6ci mikrorayon,2,51,9,18,145000
bineqedi,9cu mikrorayon,3,74,6,19,202000
bineqedi,bineqedi,3,84,2,16,155000
bineqedi,7ci mikrorayon,2,81,11,17,205000
bineqedi,6ci mikrorayon,2,92,14,16,260000
bineqedi,bineqedi,2,69,1,3,115000
bineqedi,8ci mikrorayon,2,83,9,16,307000
bineqedi,9cu mikrorayon,3,87,4,17,224000
bineqedi,9cu mikrorayon,1,50,4,19,160000
bineqedi,bileceri,2,94,5,5,165000
bineqedi,bileceri,4,115,2,5,250000
bineqedi,6ci mikrorayon,3,74,2,7,210000
bineqedi,6ci mikrorayon,3,108,7,18,320000
bineqedi,7ci mikrorayon,3,93,9,13,221000
bineqedi,6ci mikrorayon,3,107,1,14,247000
bineqedi,bileceri,2,60,11,15,132000
bineqedi,8ci mikrorayon,2,75,14,19,201000
bineqedi,8ci mikrorayon,3,113,4,18,295000
bineqedi,28may q,3,112,5,9,342000
bineqedi,bileceri,4,103,1,5,237000
bineqedi,8ci mikrorayon,2,70,2,5,211000
bineqedi,7ci mikrorayon,3,99,7,12,288000
bineqedi,9cu mikrorayon,3,82,7,17,286000
bineqedi,6ci mikrorayon,3,102,1,7,262000
bineqedi,8ci mikrorayon,3,85,4,16,284000
bineqedi,6ci mikrorayon,3,106,9,17,259000
bineqedi,9cu mikrorayon,2,65,1,5,179000
bineqedi,6ci mikrorayon,2,61,3,7,176000
bineqedi,6ci mikrorayon,3,115,1,16,297000
bineqedi,bileceri,2,51,5,10,92000
bineqedi,bileceri,2,61,1,5,118000
bineqedi,7ci mikrorayon,2,61,8,9,157000
bineqedi,6ci mikrorayon,2,89,5,7,200000
bineqedi,8ci mikrorayon,2,68,2,19,220000
bineqedi,6ci mikrorayon,3,126,5,18,320000
bineqedi,7ci mikrorayon,2,66,14,18,207000
bineqedi,7ci mikrorayon,3,76,1,13,212000
bineqedi,8ci mikrorayon,2,95,8,19,264000
bineqedi,6ci mikrorayon,3,92,18,18,214000
bineqedi,8ci mikrorayon,1,46,5,5,135000
bineqedi,8ci mikrorayon,2,81,5,9,208000
bineqedi,bileceri,3,130,6,10,250000
bineqedi,9cu mikrorayon,2,64,10,19,193000
bineqedi,28may q,3,96,10,17,304000
bineqedi,bileceri,3,90,15,17,173000
bineqedi,bineqedi,1,66,2,3,163000
bineqedi,7ci mikrorayon,3,118,5,9,257000
bineqedi,7ci mikrorayon,3,124,3,18,326000
bineqedi,7ci mikrorayon,2,89,1,5,241000
bineqedi,9cu mikrorayon,3,105,2,9,288000
bineqedi,9cu mikrorayon,1,64,15,17,189000
bineqedi,bileceri,2,55,15,17,96000
bineqedi,bileceri,2,85,5,10,160000
bineqedi,7ci mikrorayon,4,110,3,9,270000
bineqedi,6ci mikrorayon,2,79,14,19,197000
bineqedi,bineqedi,2,63,16,17,99000
bineqedi,bileceri,1,58,8,10,94000
bineqedi,6ci mikrorayon,2,88,6,18,277000
bineqedi,bineqedi,3,112,1,3,260000
bineqedi,6ci mikrorayon,2,58,11,19,162000
bineqedi,8ci mikrorayon,3,100,5,5,242000
bineqedi,6ci mikrorayon,4,105,2,5,228000
bineqedi,6ci mikrorayon,2,87,5,5,235000
bineqedi,7ci mikrorayon,3,117,4,17,338000
bineqedi,bineqedi,3,128,13,17,260000
bineqedi,7ci mikrorayon,3,89,4,18,263000
bineqedi,9cu mikrorayon,2,86,1,17,274000
bineqedi,9cu mikrorayon,4,119,6,18,390000
bineqedi,8ci mikrorayon,3,97,19,19,263000
bineqedi,bileceri,2,74,11,17,107000
bineqedi,bileceri,2,83,9,15,127000
bineqedi,8ci mikrorayon,3,114,16,16,311000
bineqedi,7ci mikrorayon,3,93,9,13,252000
bineqedi,7ci mikrorayon,3,87,5,12,202000
bineqedi,9cu mikrorayon,1,50,4,9,160000
bineqedi,8ci mikrorayon,1,51,4,14,142000
bineqedi,6ci mikrorayon,2,53,4,19,158000
bineqedi,6ci mikrorayon,4,161,1,5,320000
bineqedi,6ci mikrorayon,3,89,2,5,209000
bineqedi,9cu mikrorayon,3,84,13,19,252000
bineqedi,7ci mikrorayon,3,109,4,17,335000
bineqedi,6ci mikrorayon,2,49,1,7,113000
bineqedi,7ci mikrorayon,2,74,2,5,224000
bineqedi,9cu mikrorayon,3,129,7,9,263000
bineqedi,7ci mikrorayon,2,48,5,9,139000
bineqedi,8ci mikrorayon,2,70,9,14,232000
bineqedi,9cu mikrorayon,3,71,2,5,234000
bineqedi,8ci mikrorayon,1,53,2,17,176000
bineqedi,7ci mikrorayon,1,58,16,17,175000
bineqedi,7ci mikrorayon,2,55,7,12,160000
bineqedi,bileceri,3,99,3,5,172000
bineqedi,bileceri,3,70,14,17,106000
bineqedi,8ci mikrorayon,3,73,5,9,223000
bineqedi,9cu mikrorayon,2,85,8,19,249000
bineqedi,28may q,4,114,2,5,373000
bineqedi,8ci mikrorayon,2,75,8,16,224000
bineqedi,9cu mikrorayon,2,49,14,17,125000
bineqedi,9cu mikrorayon,4,162,8,9,390000
bineqedi,8ci mikrorayon,3,90,7,19,329000
bineqedi,7ci mikrorayon,2,75,13,17,202000
bineqedi,bineqedi,2,49,11,18,171000
bineqedi,9cu mikrorayon,2,86,2,9,242000
bineqedi,7ci mikrorayon,3,111,3,5,322000
bineqedi,7ci mikrorayon,3,118,9,13,259000
bineqedi,bineqedi,4,111,4,17,260000
bineqedi,7ci mikrorayon,2,65,2,18,151000
bineqedi,8ci mikrorayon,3,120,3,9,318000
bineqedi,9cu mikrorayon,3,107,4,9,275000
bineqedi,6ci mikrorayon,3,127,6,16,317000
bineqedi,9cu mikrorayon,3,89,7,9,255000
bineqedi,7ci mikrorayon,2,63,10,17,136000
bineqedi,bileceri,3,73,10,17,170000
bineqedi,28may q,3,93,4,18,364000
bineqedi,8ci mikrorayon,3,75,6,14,242000
bineqedi,bineqedi,3,128,6,16,260000
bineqedi,7ci mikrorayon,2,49,4,9,166000
bineqedi,bileceri,2,95,1,17,157000
bineqedi,7ci mikrorayon,2,85,2,12,229000
bineqedi,9cu mikrorayon,1,55,8,19,171000
bineqedi,9cu mikrorayon,2,47,3,5,154000
bineqedi,7ci mikrorayon,2,92,14,17,269000
bineqedi,9cu mikrorayon,4,152,2,17,390000
bineqedi,7ci mikrorayon,1,56,12,16,137000
bineqedi,bileceri,2,58,1,5,119000
bineqedi,8ci mikrorayon,2,93,7,17,312000
bineqedi,bileceri,3,87,3,10,171000
bineqedi,bileceri,2,67,10,10,105000
bineqedi,9cu mikrorayon,3,117,4,5,316000
bineqedi,8ci mikrorayon,2,84,5,5,211000
bineqedi,bineqedi,1,66,2,3,183000
bineqedi,bineqedi,2,47,3,5,132000
bineqedi,8ci mikrorayon,2,77,14,17,219000
bineqedi,9cu mikrorayon,3,116,7,9,293000
bineqedi,7ci mikrorayon,3,96,4,17,252000
bineqedi,9cu mikrorayon,3,75,1,5,185000
bineqedi,6ci mikrorayon,2,80,4,17,218000
bineqedi,bineqedi,2,64,12,16,111000
bineqedi,bileceri,2,80,2,15,200000
bineqedi,bileceri,1,64,5,5,153000
bineqedi,28may q,3,106,1,12,278000
bineqedi,6ci mikrorayon,3,71,5,5,156000
bineqedi,7ci mikrorayon,3,119,3,16,335000
bineqedi,6ci mikrorayon,2,72,15,19,182000
bineqedi,7ci mikrorayon,2,88,16,17,223000
bineqedi,bineqedi,2,54,2,5,151000
bineqedi,8ci mikrorayon,3,78,8,16,237000
bineqedi,bileceri,2,46,3,17,124000
bineqedi,6ci mikrorayon,2,65,7,7,186000
bineqedi,7ci mikrorayon,2,51,7,9,138000
bineqedi,7ci mikrorayon,2,66,6,18,148000
bineqedi,bileceri,2,86,4,10,123000
bineqedi,6ci mikrorayon,3,74,7,7,191000
bineqedi,8ci mikrorayon,3,126,11,17,390000
bineqedi,7ci mikrorayon,2,48,9,12,120000
bineqedi,7ci mikrorayon,3,124,5,5,321000
bineqedi,9cu mikrorayon,2,81,6,9,244000
bineqedi,8ci mikrorayon,3,123,12,14,313000
bineqedi,bineqedi,3,109,3,5,235000
bineqedi,7ci mikrorayon,3,120,11,17,262000
bineqedi,9cu mikrorayon,3,128,5,19,340000
bineqedi,9cu mikrorayon,2,83,3,5,227000
bineqedi,6ci mikrorayon,3,130,4,5,320000
bineqedi,7ci mikrorayon,3,82,3,9,194000
bineqedi,8ci mikrorayon,3,117,2,17,390000
bineqedi,8ci mikrorayon,2,56,6,19,184000
bineqedi,bineqedi,3,118,8,17,260000
bineqedi,bileceri,2,81,15,17,198000
bineqedi,7ci mikrorayon,2,57,5,18,164000
bineqedi,bineqedi,3,103,2,3,159000
bineqedi,8ci mikrorayon,3,123,3,16,375000
bineqedi,6ci mikrorayon,3,85,3,18,227000
bineqedi,9cu mikrorayon,3,78,3,5,258000
bineqedi,9cu mikrorayon,3,109,1,5,212000
bineqedi,bineqedi,3,97,2,3,175000
bineqedi,28may q,3,114,1,5,394000
bineqedi,9cu mikrorayon,3,115,5,9,296000
bineqedi,7ci mikrorayon,3,75,12,16,186000
bineqedi,8ci mikrorayon,2,75,4,5,238000
bineqedi,bileceri,2,91,5,5,185000
bineqedi,8ci mikrorayon,3,81,15,19,271000
bineqedi,6ci mikrorayon,3,130,2,19,273000
bineqedi,bineqedi,2,60,2,16,171000
bineqedi,bileceri,4,117,3,5,223000
bineqedi,bineqedi,2,60,12,17,212000
bineqedi,6ci mikrorayon,3,122,5,7,269000
bineqedi,8ci mikrorayon,3,80,15,18,236000
bineqedi,7ci mikrorayon,1,53,2,17,131000
bineqedi,9cu mikrorayon,1,49,15,19,120000
bineqedi,7ci mikrorayon,3,108,8,9,311000
bineqedi,bileceri,3,103,7,15,178000
bineqedi,28may q,3,120,3,5,420000
bineqedi,9cu mikrorayon,3,101,2,9,219000
bineqedi,6ci mikrorayon,3,75,12,17,209000
bineqedi,6ci mikrorayon,3,114,7,7,284000
bineqedi,bileceri,2,76,3,5,164000
bineqedi,8ci mikrorayon,3,75,3,5,218000
bineqedi,7ci mikrorayon,2,81,2,5,244000
bineqedi,8ci mikrorayon,3,92,9,9,285000
bineqedi,8ci mikrorayon,4,107,4,19,345000
bineqedi,28may q,4,90,4,12,293000
bineqedi,7ci mikrorayon,3,102,6,17,287000
bineqedi,bineqedi,2,46,1,3,80000
bineqedi,bileceri,2,85,4,5,216000
bineqedi,7ci mikrorayon,2,88,5,13,216000
bineqedi,7ci mikrorayon,3,91,5,16,249000
bineqedi,bineqedi,2,61,4,18,127000
bineqedi,6ci mikrorayon,2,69,8,18,235000
bineqedi,9cu mikrorayon,2,55,17,18,156000
bineqedi,6ci mikrorayon,2,74,4,14,199000
bineqedi,bileceri,3,88,1,5,167000
bineqedi,bileceri,2,70,5,5,134000
bineqedi,7ci mikrorayon,3,105,10,12,269000
bineqedi,bineqedi,2,55,12,18,164000
bineqedi,6ci mikrorayon,2,66,17,19,175000
bineqedi,7ci mikrorayon,3,80,10,13,214000
bineqedi,7ci mikrorayon,3,104,12,13,270000
bineqedi,6ci mikrorayon,2,52,10,18,157000
bineqedi,bineqedi,1,63,1,5,152000
bineqedi,9cu mikrorayon,4,118,1,9,299000
bineqedi,8ci mikrorayon,3,96,7,18,317000
bineqedi,9cu mikrorayon,2,53,7,19,175000
bineqedi,8ci mikrorayon,3,104,11,14,356000
bineqedi,9cu mikrorayon,3,82,5,9,241000
bineqedi,7ci mikrorayon,2,58,16,17,151000
bineqedi,bileceri,2,52,13,17,136000
bineqedi,7ci mikrorayon,3,92,11,13,215000
bineqedi,28may q,3,120,9,18,336000
bineqedi,9cu mikrorayon,3,110,1,9,234000
bineqedi,9cu mikrorayon,2,80,7,9,238000
bineqedi,8ci mikrorayon,3,118,6,14,341000
bineqedi,28may q,3,87,7,9,306000
bineqedi,bineqedi,4,150,6,17,260000
bineqedi,8ci mikrorayon,2,66,8,14,251000
bineqedi,bileceri,2,57,3,5,90000
bineqedi,28may q,3,103,7,17,328000
bineqedi,8ci mikrorayon,2,87,2,5,292000
bineqedi,bineqedi,2,52,9,17,182000
bineqedi,9cu mikrorayon,2,52,10,18,147000
bineqedi,9cu mikrorayon,3,130,12,17,357000
bineqedi,9cu mikrorayon,2,80,18,18,257000
bineqedi,8ci mikrorayon,3,103,12,16,277000
bineqedi,8ci mikrorayon,3,79,6,9,268000
bineqedi,9cu mikrorayon,3,127,15,19,374000
bineqedi,6ci mikrorayon,2,64,4,5,145000
bineqedi,6ci mikrorayon,2,89,5,5,244000
bineqedi,bineqedi,2,50,4,5,123000
bineqedi,7ci mikrorayon,2,87,18,18,210000
bineqedi,7ci mikrorayon,2,59,1,18,172000
bineqedi,8ci mikrorayon,2,59,8,9,159000
bineqedi,bineqedi,3,77,3,3,180000
bineqedi,6ci mikrorayon,2,51,4,5,143000
bineqedi,7ci mikrorayon,2,58,2,18,135000
bineqedi,bineqedi,3,106,11,18,226000
bineqedi,7ci mikrorayon,2,80,6,16,239000
bineqedi,bineqedi,3,120,11,18,260000
bineqedi,8ci mikrorayon,2,59,14,14,196000
bineqedi,bineqedi,3,78,8,17,155000
bineqedi,7ci mikrorayon,3,123,1,9,281000
bineqedi,28may q,3,120,8,9,355000
bineqedi,7ci mikrorayon,4,127,2,9,361000
bineqedi,9cu mikrorayon,3,95,9,9,226000
bineqedi,9cu mikrorayon,2,68,16,19,197000
bineqedi,bileceri,2,58,6,15,108000
bineqedi,7ci mikrorayon,4,153,3,12,327000
bineqedi,8ci mikrorayon,4,143,13,14,390000
bineqedi,6ci mikrorayon,3,80,6,7,198000
bineqedi,bileceri,1,46,1,5,116000
bineqedi,bileceri,2,90,1,10,130000
bineqedi,9cu mikrorayon,4,161,1,18,313000
bineqedi,bineqedi,2,66,6,17,107000
bineqedi,8ci mikrorayon,3,87,13,19,234000
bineqedi,9cu mikrorayon,2,50,1,5,129000
bineqedi,9cu mikrorayon,2,72,4,17,253000
bineqedi,9cu mikrorayon,3,87,1,5,235000
bineqedi,9cu mikrorayon,2,65,2,5,186000
bineqedi,9cu mikrorayon,2,49,6,17,154000
bineqedi,7ci mikrorayon,3,120,3,17,328000
bineqedi,bileceri,2,94,11,17,140000
bineqedi,7ci mikrorayon,4,155,7,9,341000
bineqedi,9cu mikrorayon,2,54,5,18,158000
bineqedi,7ci mikrorayon,2,53,2,5,138000
bineqedi,6ci mikrorayon,2,80,5,5,198000
bineqedi,7ci mikrorayon,2,50,8,17,132000
bineqedi,8ci mikrorayon,2,72,7,14,226000
bineqedi,9cu mikrorayon,3,109,8,9,242000
bineqedi,bineqedi,2,57,15,16,133000
bineqedi,bineqedi,2,64,4,5,145000
bineqedi,7ci mikrorayon,3,101,8,16,251000
bineqedi,bineqedi,2,50,1,18,163000
bineqedi,9cu mikrorayon,3,120,16,18,274000
bineqedi,6ci mikrorayon,2,69,4,5,203000
bineqedi,8ci mikrorayon,4,153,2,17,390000
bineqedi,9cu mikrorayon,2,94,6,9,227000
bineqedi,9cu mikrorayon,3,118,14,17,261000
bineqedi,9cu mikrorayon,3,114,8,19,322000
bineqedi,8ci mikrorayon,2,46,4,16,150000
bineqedi,7ci mikrorayon,2,95,9,9,231000
bineqedi,9cu mikrorayon,2,64,1,5,125000
bineqedi,bileceri,4,133,9,10,211000
bineqedi,28may q,3,96,14,18,326000
bineqedi,8ci mikrorayon,3,70,7,18,192000
bineqedi,6ci mikrorayon,4,123,11,17,300000
bineqedi,7ci mikrorayon,2,70,4,16,193000
bineqedi,9cu mikrorayon,2,84,3,19,235000
bineqedi,7ci mikrorayon,2,69,10,13,152000
bineqedi,28may q,3,96,6,17,309000
bineqedi,6ci mikrorayon,2,45,5,19,114000
bineqedi,8ci mikrorayon,3,98,6,16,251000
bineqedi,7ci mikrorayon,3,80,15,18,221000
bineqedi,8ci mikrorayon,3,87,18,19,302000
bineqedi,6ci mikrorayon,3,104,7,14,250000
bineqedi,bineqedi,2,72,2,3,210000
bineqedi,bileceri,2,92,14,15,205000
bineqedi,6ci mikrorayon,2,58,5,5,136000
bineqedi,7ci mikrorayon,3,88,9,16,291000
bineqedi,6ci mikrorayon,3,96,3,5,287000
bineqedi,7ci mikrorayon,3,123,7,9,291000
bineqedi,7ci mikrorayon,3,110,3,18,311000
bineqedi,8ci mikrorayon,3,107,1,5,325000
bineqedi,7ci mikrorayon,2,79,4,13,241000
bineqedi,7ci mikrorayon,2,80,5,16,225000
bineqedi,6ci mikrorayon,2,95,1,19,203000
bineqedi,bineqedi,2,74,3,5,131000
bineqedi,9cu mikrorayon,2,68,1,9,169000
bineqedi,28may q,3,91,2,5,272000
bineqedi,28may q,3,85,11,18,318000
bineqedi,6ci mikrorayon,2,91,1,5,203000
bineqedi,bileceri,3,78,2,10,146000
bineqedi,9cu mikrorayon,3,116,3,9,366000
bineqedi,28may q,4,92,13,17,296000
bineqedi,7ci mikrorayon,3,85,10,16,264000
bineqedi,7ci mikrorayon,3,102,7,9,227000
bineqedi,bineqedi,4,163,4,17,260000
bineqedi,7ci mikrorayon,2,69,14,18,184000
bineqedi,bineqedi,1,63,1,3,107000
bineqedi,bileceri,2,85,14,17,190000
bineqedi,9cu mikrorayon,2,64,5,5,189000
bineqedi,7ci mikrorayon,3,118,3,18,292000
bineqedi,7ci mikrorayon,4,114,10,13,293000
bineqedi,9cu mikrorayon,3,77,2,5,211000
bineqedi,bineqedi,3,120,6,16,260000
bineqedi,6ci mikrorayon,4,142,9,18,320000
bineqedi,8ci mikrorayon,2,81,6,9,231000
bineqedi,9cu mikrorayon,2,92,1,19,203000
xetai,ehmedli,3,139,9,17,356000
xetai,kohne gunesli,3,81,9,16,178000
xetai,ag seher,3,121,16,18,384000
xetai,kohne gunesli,3,77,3,9,200000
xetai,ehmedli,4,145,7,10,328500
xetai,kohne gunesli,2,58,4,5,129000
xetai,ehmedli,3,136,10,11,371000
xetai,ag seher,3,126,8,8,718000
xetai,ag seher,3,125,10,18,536000
xetai,ag seher,3,88,18,20,497000
xetai,ag seher,4,153,10,16,581000
xetai,ehmedli,3,94,16,17,186000
xetai,kohne gunesli,3,70,6,9,142500
xetai,ehmedli,3,109,7,15,202000
xetai,ehmedli,4,153,5,16,283500
xetai,ag seher,2,59,13,16,302000
xetai,kohne gunesli,2,65,1,7,129000
xetai,ag seher,2,69,11,16,373000
xetai,kohne gunesli,3,78,4,9,192000
xetai,ag seher,5,216,2,7,1050000
xetai,ag seher,4,138,7,18,619000
xetai,kohne gunesli,4,110,3,5,248000
xetai,ehmedli,3,125,12,16,260000
xetai,ag seher,3,119,16,17,747000
xetai,kohne gunesli,3,79,4,9,197000
xetai,ehmedli,3,133,12,17,246000
xetai,kohne gunesli,3,79,7,16,174000
xetai,ehmedli,3,99,15,16,264000
xetai,ehmedli,4,143,13,16,348000
xetai,kohne gunesli,2,53,2,5,133000
xetai,ag seher,4,147,1,18,652000
xetai,kohne gunesli,3,89,3,7,193500
xetai,ehmedli,2,75,2,10,143000
xetai,ag seher,4,141,11,17,564500
xetai,ehmedli,2,77,3,15,230000
xetai,ag seher,5,178,3,20,1050000
xetai,kohne gunesli,2,55,7,7,116000
xetai,ag seher,3,131,11,17,583000
xetai,ag seher,2,61,18,18,329000
xetai,ehmedli,3,117,10,16,206000
xetai,ehmedli,2,76,3,9,178000
xetai,ag seher,3,101,2,17,552000
